target,query,layer,head,source,attention_now,attention_before,source_gain,source_gain_low,source_token_id,source_text,source_context,region,source_is_prior_event,same_token_as_node,reviewed_roles
29,563,0,1,543,0.40625,0.0630289713541666,0.3432210286458333,0.1522115071614583,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
29,563,0,1,534,0.279296875,0.044189453125,0.235107421875,0.044097900390625,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ To cook brats,",prompt,False,False,outside_reviewed_claim_sources
64,598,0,1,563,0.296875,0.0244140625,0.2724609375,-0.008087158203125,627,".
"," from exploding as they cook ⟦.
⟧ 2. Combine the brat",history,True,True,outside_reviewed_claim_sources
64,598,0,1,543,0.14453125,0.0,0.14453125,-0.136016845703125,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
64,598,0,1,534,0.07470703125,0.0,0.07470703125,-0.205841064453125,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ To cook brats,",prompt,False,False,outside_reviewed_claim_sources
29,563,2,0,543,0.07568359375,0.0,0.07568359375,0.0413716634114583,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
29,563,2,0,545,0.0537109375,0.0,0.0537109375,0.0193990071614583,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
29,563,2,0,544,0.0311279296875,0.0,0.0311279296875,-0.0031840006510416,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
65,599,2,13,565,0.3515625,0.0016072591145833,0.3499552408854167,0.3154220581054687,13,.," as they cook.
2 ⟦.⟧  Combine the bratwurst",history,False,False,outside_reviewed_claim_sources
65,599,2,13,545,0.1171875,0.0,0.1171875,0.082654317220052,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
64,598,5,12,564,0.0810546875,0.0,0.0810546875,0.0352783203125,17,2," exploding as they cook.
 ⟦2⟧ . Combine the bratw",history,False,False,outside_reviewed_claim_sources
64,598,5,12,565,0.0791015625,0.0,0.0791015625,0.0333251953125,13,.," as they cook.
2 ⟦.⟧  Combine the bratwurst",history,False,False,outside_reviewed_claim_sources
64,598,5,12,566,0.068359375,0.0,0.068359375,0.0225830078125,47912, Combine," they cook.
2. ⟦ Combine⟧  the bratwurst,",history,False,False,outside_reviewed_claim_sources
64,598,5,12,582,0.058349609375,0.0,0.058349609375,0.0125732421875,13,., beer in a large pot ⟦.⟧  Place the pot over medium,history,True,False,outside_reviewed_claim_sources
64,598,5,12,545,0.0308837890625,0.0,0.0308837890625,-0.014892578125,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
108,642,5,13,618,0.0654296875,0.0003560384114583,0.0650736490885416,0.0381189982096354,12797, Cook," the grate.
4. ⟦ Cook⟧  the bratwurst on",history,False,False,outside_reviewed_claim_sources
108,642,5,13,617,0.0299072265625,0.0,0.0299072265625,0.0029525756835937,13,.," oil the grate.
4 ⟦.⟧  Cook the bratwurst",history,False,False,outside_reviewed_claim_sources
108,642,5,13,610,0.019287109375,0.0,0.019287109375,-0.0076675415039062,8828, Light," for medium-high heat. ⟦ Light⟧ ly oil the grate.
",history,False,False,outside_reviewed_claim_sources
35,569,6,19,534,0.142578125,0.0037027994791666,0.1388753255208333,0.0348103841145833,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ To cook brats,",prompt,False,False,outside_reviewed_claim_sources
35,569,6,19,532,0.076171875,0.0,0.076171875,-0.02789306640625,78191,assistant,".""
output:<|eot_id|><|start_header_id|> ⟦assistant⟧ <|end_header_id|>

To cook br",prompt,False,False,outside_reviewed_claim_sources
29,563,7,2,545,0.07470703125,0.0,0.07470703125,0.0263264973958333,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
29,563,7,2,543,0.06982421875,0.0,0.06982421875,0.0214436848958333,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
29,563,7,2,544,0.06494140625,0.0,0.06494140625,0.0165608723958333,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
108,642,7,2,616,0.1083984375,0.0,0.1083984375,0.080810546875,19,4,"ly oil the grate.
 ⟦4⟧ . Cook the bratw",history,True,False,outside_reviewed_claim_sources
108,642,7,2,617,0.046142578125,0.0,0.046142578125,0.0185546875,13,.," oil the grate.
4 ⟦.⟧  Cook the bratwurst",history,False,False,outside_reviewed_claim_sources
29,563,7,12,543,0.11572265625,0.0133463541666666,0.1023763020833333,-0.0675455729166666,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
29,563,7,12,544,0.09423828125,0.0118815104166666,0.0823567708333333,-0.0875651041666666,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
29,563,7,12,542,0.076171875,0.0,0.076171875,-0.09375,7504, steps," brats, follow these ⟦ steps⟧ :

1. Prick",history,False,False,outside_reviewed_claim_sources
29,563,7,12,545,0.08837890625,0.0122884114583333,0.0760904947916666,-0.0938313802083333,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
16,550,7,17,539,0.1435546875,0.0157877604166666,0.1277669270833333,0.058685302734375,11,",","

To cook brats ⟦,⟧  follow these steps:

1",history,True,False,outside_reviewed_claim_sources
16,550,7,17,538,0.1279296875,0.0120646158854166,0.1158650716145833,0.046783447265625,1900,ats,"<|end_header_id|>

To cook br ⟦ats⟧ , follow these steps:

",history,True,False,outside_reviewed_claim_sources
16,550,7,17,536,0.08251953125,0.006317138671875,0.076202392578125,0.0071207682291666,4394, cook,"<|start_header_id|>assistant<|end_header_id|>

To ⟦ cook⟧  brats, follow these",history,False,False,outside_reviewed_claim_sources
29,563,7,19,542,0.0654296875,0.0,0.0654296875,-0.0261942545572916,7504, steps," brats, follow these ⟦ steps⟧ :

1. Prick",history,False,False,outside_reviewed_claim_sources
29,563,7,19,543,0.046142578125,0.002044677734375,0.044097900390625,-0.0475260416666666,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
29,563,7,19,527,0.0311279296875,0.0,0.0311279296875,-0.0604960123697916,10246,".""
"," answer based on given passages ⟦.""
⟧ output:<|eot_id|><|start_header_id|>assistant",prompt,False,False,outside_reviewed_claim_sources
29,563,7,19,544,0.0233154296875,0.0,0.0233154296875,-0.0683085123697916,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
29,563,7,19,545,0.0234375,0.00140380859375,0.02203369140625,-0.0695902506510416,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
60,594,8,13,563,0.2021484375,0.0033772786458333,0.1987711588541666,0.0030008951822916,627,".
"," from exploding as they cook ⟦.
⟧ 2. Combine the brat",history,True,False,outside_reviewed_claim_sources
60,594,8,13,569,0.181640625,0.0,0.181640625,-0.014129638671875,86,w,"2. Combine the brat ⟦w⟧ urst, onions, butter",history,True,False,outside_reviewed_claim_sources
60,594,8,13,543,0.12890625,0.0,0.12890625,-0.066864013671875,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
60,594,8,13,568,0.06982421875,0.0082600911458333,0.0615641276041666,-0.1342061360677083,117845, brat,".
2. Combine the ⟦ brat⟧ wurst, onions,",history,False,False,outside_reviewed_claim_sources
29,563,8,22,544,0.1328125,0.0,0.1328125,0.0362345377604166,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
29,563,8,22,545,0.095703125,0.0,0.095703125,-0.0008748372395833,13,.," follow these steps:

1 ⟦.⟧  Prick the bratw",history,False,False,outside_reviewed_claim_sources
29,563,8,22,546,0.07421875,0.0,0.07421875,-0.0223592122395833,2394, Pr," these steps:

1. ⟦ Pr⟧ ick the bratwurst",history,True,False,outside_reviewed_claim_sources
29,563,8,22,547,0.047607421875,0.0,0.047607421875,-0.0489705403645833,875,ick," steps:

1. Pr ⟦ick⟧  the bratwurst with",history,False,False,outside_reviewed_claim_sources
35,569,8,22,543,0.1806640625,0.0132497151692708,0.1674143473307291,0.0816040039062499,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
35,569,8,22,535,0.08984375,0.0,0.08984375,0.0040334065755208,1271,To,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦To⟧  cook brats, follow",history,False,False,outside_reviewed_claim_sources
35,569,8,22,529,0.06298828125,0.0,0.06298828125,-0.0228220621744791,25,:," on given passages.""
output ⟦:⟧ <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",prompt,False,False,outside_reviewed_claim_sources
35,569,8,22,539,0.047119140625,0.0,0.047119140625,-0.0386912027994791,11,",","

To cook brats ⟦,⟧  follow these steps:

1",history,True,False,outside_reviewed_claim_sources
44,578,8,22,566,0.1455078125,0.0269978841145833,0.1185099283854166,0.06207275390625,47912, Combine," they cook.
2. ⟦ Combine⟧  the bratwurst,",history,False,False,outside_reviewed_claim_sources
44,578,8,22,565,0.0264892578125,0.0,0.0264892578125,-0.0299479166666666,13,.," as they cook.
2 ⟦.⟧  Combine the bratwurst",history,False,False,outside_reviewed_claim_sources
60,594,8,22,564,0.1572265625,0.0,0.1572265625,0.004150390625,17,2," exploding as they cook.
 ⟦2⟧ . Combine the bratw",history,False,False,outside_reviewed_claim_sources
60,594,8,22,563,0.154296875,0.0094807942708333,0.1448160807291666,-0.0082600911458333,627,".
"," from exploding as they cook ⟦.
⟧ 2. Combine the brat",history,True,False,outside_reviewed_claim_sources
60,594,8,22,543,0.06640625,0.0,0.06640625,-0.086669921875,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",history,True,False,outside_reviewed_claim_sources
60,594,8,22,544,0.0498046875,0.0,0.0498046875,-0.103271484375,16,1,", follow these steps:

 ⟦1⟧ . Prick the brat",history,False,False,outside_reviewed_claim_sources
60,594,8,22,565,0.047119140625,0.0,0.047119140625,-0.10595703125,13,.," as they cook.
2 ⟦.⟧  Combine the bratwurst",history,False,False,outside_reviewed_claim_sources
108,642,8,22,616,0.1953125,0.0033162434895833,0.1919962565104166,0.0957743326822916,19,4,"ly oil the grate.
 ⟦4⟧ . Cook the bratw",history,True,False,outside_reviewed_claim_sources
108,642,8,22,617,0.06884765625,0.0,0.06884765625,-0.027374267578125,13,.," oil the grate.
4 ⟦.⟧  Cook the bratwurst",history,False,False,outside_reviewed_claim_sources
108,642,8,22,615,0.0439453125,0.0,0.0439453125,-0.052276611328125,627,".
"," Lightly oil the grate ⟦.
⟧ 4. Cook the brat",history,True,True,outside_reviewed_claim_sources
75,609,9,8,599,0.1953125,0.0289306640625,0.1663818359375,0.0764567057291666,18,3," to 20 minutes.
 ⟦3⟧ . Preheat a grill",history,True,False,outside_reviewed_claim_sources
75,609,9,8,598,0.140625,0.0498860677083333,0.0907389322916666,0.0008138020833333,627,".
","15 to 20 minutes ⟦.
⟧ 3. Preheat a",history,True,False,outside_reviewed_claim_sources
81,615,9,8,598,0.1796875,0.0056559244791666,0.1740315755208333,0.0522867838541666,627,".
","15 to 20 minutes ⟦.
⟧ 3. Preheat a",history,True,True,outside_reviewed_claim_sources
81,615,9,8,599,0.0888671875,0.0,0.0888671875,-0.0328776041666666,18,3," to 20 minutes.
 ⟦3⟧ . Preheat a grill",history,True,False,outside_reviewed_claim_sources
