family,feature_name,display_name_cn,definition_cn,formula_or_construction,granularity,metric_kind,auroc,auprc,random_auprc,best_separability,q90_separability,effect_mean,effect_dz,p_value,direction,token_count,positive_tokens,status,result_version,result_source_file,current_code_path,reproduction_output,reporting_note
onset_attention_statistics,normalized_entropy,归一化注意力熵,当前 token 的保留注意力权重归一化后计算熵，并按可用边数归一化；值越低表示注意力越集中。,H_t=-sum_j p_tj log p_tj / log(degree_t),"token, paired hallucination onset",paired_onset_effect,,,,,,-0.0315302043,-0.8178684170,0.0004999500,lower_at_hallucination_onset,,,observed_signal,onset_validation/ragtruth_test_v1,outputs/onset_validation/ragtruth_test_v1/ (exact summary filename was not present in the supplied excerpt),attention_graph/statistics.py::token_statistics,onset-validation experiment output directory,当前最稳定的局部机制信号之一；不是独立 detector AUROC。
onset_attention_statistics,prompt_mass_share,Prompt 注意力质量占比,当前 token 保留注意力中流向 prompt token 的权重占总保留注意力权重的比例。,sum_prompt A_tj / sum_all_retained A_tj,"token, paired hallucination onset",paired_onset_effect,,,,,,0.0235334406,0.5380330035,0.0004999500,higher_at_hallucination_onset,,,observed_signal,onset_validation/ragtruth_test_v1,outputs/onset_validation/ragtruth_test_v1/ (exact summary filename was not present in the supplied excerpt),attention_graph/statistics.py::token_statistics,onset-validation experiment output directory,该实验中幻觉 onset 反而更高，因此不能概括为“幻觉一定更少看 prompt”。
lookback_ratio,lookback_1024d,逐 layer-head Lookback ratio,对每个 layer/head，比较 prompt 的按 source 数平均注意力与已生成 response（含 diagonal）的按 source 数平均注意力。,"LB_t,c=(M_prompt/P)/[(M_prompt/P)+(M_history+diag)/(t+1)]",token x 32 layers x 32 heads,orientation_free_single_coordinate_separability,,,,0.6891989850,0.6464078426,,,,best head higher_for_hallucination; directions vary by head,,,historical_feature_screen,uploaded Lookback/compact feature audit summary; exact code commit not recorded,Library source: 粘贴的文本 (1)(3).txt; no original structured Lookback-head artifact was located in the repository,attention_graph/token_representation.py::direct_lookback_channels,New canonical report: docs/results/attention_signal_summary.csv; a dedicated historical Lookback-head evaluator is not currently committed,"separability=max(AUC,1-AUC)，方向由标签后验确定，不是冻结方向的无监督性能。"
lookback_ratio,lookback_best_head_layer31_head12,最佳 Lookback 坐标（L31/H12）,1024 个 Lookback 坐标中历史筛查最强的一个。,"same as lookback_1024d, select layer=31 head=12",single layer-head coordinate,orientation_free_single_coordinate_separability,,,,0.6891989850,,,,,higher_for_hallucination,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt,attention_graph/token_representation.py::direct_lookback_channels,docs/results/attention_signal_summary.csv,单个最佳 head 未超过 0.70；不能推广成所有 heads 的共同方向。
compact_prompt_structure,prompt_centroid,直接 Prompt 注意力重心,在每一层先将同一 source-target 的多个 head 合并为该层最强保留边，再按边权计算当前 response token 直接连接的 prompt source 相对位置重心。0 表示 prompt 开头，1 表示 prompt 结尾。,"c_t,l=sum_{s in prompt} w_l(s->t)*(s/(P-1)) / sum_{s in prompt} w_l(s->t)",token x layer,orientation_free_layer_separability,,,,0.6904987209,0.6749582349,,,,lower_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt; original structured per-layer audit artifact not located,attention_graph/token_representation.py::compact_layer_structure,docs/results/attention_signal_summary.csv,“更低”表示直接 prompt 来源位置更靠前，不等价于 prompt grounding 更弱。
compact_prompt_provenance,prompt_provenance_centroid_hop1,一跳 RR 传播后的 Prompt 来源重心,先为每个历史 response token 保存其直接 prompt attention 的质量、第一矩和第二矩；当前 token 再沿一跳 response-to-response 边加权汇聚这些历史 token 的 prompt provenance，最后计算继承到的 prompt source 相对位置重心。,S_t^(1)=sum_{j<t} w_l(j->t) S_j^(0); centroid_t^(1)=first_moment_t^(1)/mass_t^(1),"token x layer, one RR hop",orientation_free_layer_separability,,,,0.7157978315,0.6856912509,,,,lower_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt; original structured per-layer audit artifact not located,"attention_graph/token_representation.py::compact_layer_structure (provenance loop, hop=1)",docs/results/attention_signal_summary.csv,这是“经一个历史 response relay 间接继承的 prompt 位置”，不是 attention mass，也不是事实正确性分数。
compact_prompt_provenance,prompt_provenance_spread_hop1,一跳 RR 传播后的 Prompt 来源离散度,与 hop1 provenance centroid 使用同一传播状态，根据传播后的第一、第二矩计算 prompt source 相对位置的标准差。,sqrt(second_moment/mass - centroid^2) after one RR propagation,"token x layer, one RR hop",orientation_free_layer_separability,,,,0.7050589636,0.6776359093,,,,lower_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt,"attention_graph/token_representation.py::compact_layer_structure (provenance loop, hop=1)",docs/results/attention_signal_summary.csv,更低表示继承的 prompt provenance 更集中在较窄的位置区域；不直接等价于 attention 熵。
compact_prompt_provenance,prompt_provenance_centroid_hop2,两跳 RR 传播后的 Prompt 来源重心,将一跳传播后的 provenance 状态再沿 RR 图传播一次，描述当前 token 经两级 response relay 追溯到的 prompt source 重心。,S_t^(2)=sum_{j<t} w_l(j->t) S_j^(1); centroid_t^(2)=first_moment_t^(2)/mass_t^(2),"token x layer, two RR hops",orientation_free_layer_separability,,,,0.6964407669,0.6629258955,,,,lower_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt,"attention_graph/token_representation.py::compact_layer_structure (provenance loop, hop=2)",docs/results/attention_signal_summary.csv,二跳仍有信号，但弱于一跳，提示最直接的 response relay 可能更重要。
compact_prompt_structure,retained_prompt_mass,保留 Prompt 边质量,在 layer-level salient route 中，当前 token 指向 prompt source 的保留边权之和。,sum_{s in prompt} w_l(s->t),token x layer,orientation_free_layer_separability,,,,0.6873069936,0.6836627489,,,,lower_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt,attention_graph/token_representation.py::compact_layer_structure,docs/results/attention_signal_summary.csv,基于 retained edges；缺失边仅表示低于 attention_floor。
compact_history_structure,history_edge_fraction,历史 Response 边占比,当前 token 的保留历史 response 边数除以保留 prompt 边数与历史边数之和。,"n_RR / max(n_RR+n_RP,1)",token x layer,orientation_free_layer_separability,,,,0.6728771772,0.6648636117,,,,higher_for_hallucination at strongest layers,,,historical_feature_screen,uploaded Lookback/compact feature audit summary,Library source: 粘贴的文本 (1)(3).txt,attention_graph/token_representation.py::compact_layer_structure,docs/results/attention_signal_summary.csv,按边数而非权重；与 onset 中的 history_edge_share 估计设置不同。
rr_spectral_subspace,rr_raw_residual_energy,RR 谱子空间原始重构残差,每个 token 的 32×32×5 causal RR Laplacian 模式经 train-only position robust normalization 和 PCA 重构后，计算所有 5120 坐标的均方正交残差。,r_perp(t)=mean((z_t - PCA^-1(PCA(z_t)))^2),"token, all layer-head channels jointly",fixed_direction_label_free_detector_evaluation,0.6601366430,0.1344061394,0.0620861151,,,,,,"higher_is_more_anomalous, frozen before labels",73994,4594,historical_full_result_requires_version_note,RR-only spectral-subspace implementation before commit 5fbbd95,experiments/spectral_feasibility/outputs/rr_spectral_subspace/full/evaluation.json,experiments/spectral_feasibility/representations.py; subspace.py; experiment.py,"same full output directory, but current schema at commit 5fbbd95+ must be rerun in a fresh OUT directory",当前主分支已强化 fit/cal source-group 隔离和全局单调校准；不能把历史 0.6601 无条件归因于当前代码的新版本。
rr_spectral_subspace,rr_localized_channel_tail,RR 局部多-head 残差尾部,将 PCA residual 拆为 1024 个 layer-head channel，按各自 train 分布标准化后聚合固定 top 5% channel。,mean(Top5Percent_c standardized channel residual energy),"token, selected layer-head subset",fixed_diagnostic_evaluation,0.6436067029,0.1285226486,0.0620861151,,,,,,higher_is_more_anomalous,73994,4594,historical_diagnostic,RR-only spectral-subspace implementation before commit 5fbbd95,experiments/spectral_feasibility/outputs/rr_spectral_subspace/full/evaluation.json,experiments/spectral_feasibility/subspace.py; experiment.py,current full run writes evaluation.json and test_scores.npz,弱于全局 residual，支持异常不是单一或极少数 head 的孤立 spike。
