target,query,node_token,node_token_id,node_text,context,predicted_token,heads,head_ids,max_shift_low,known_claim_target,lag_to_known_claim,claim_in_next_window,claim_at_decision,known_claim_unsupported,other_followup_annotation,future_hallucination_known,id,source_id,task,generator,split,annotation_origin
8,441,7,1168, kn," clothes consisted of woven or ⟦ kn⟧ itted textiles, held together",itted,3,"[[9, 9], [15, 5], [26, 3]]",0.4094136555989583,35,27,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
11,444,10,11,","," woven or knitted textiles ⟦,⟧  held together by large metal", held,1,"[[6, 25]]",0.1313883463541666,35,24,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
12,445,11,5762, held," or knitted textiles, ⟦ held⟧  together by large metal pins", together,1,"[[26, 3]]",0.1686452229817708,35,23,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
16,449,15,9501, metal,", held together by large ⟦ metal⟧  pins. They wore tun", pins,1,"[[20, 3]]",0.2292073567708333,35,19,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
18,451,17,13,., together by large metal pins ⟦.⟧  They wore tunics and, They,12,"[[7, 10], [9, 9], [10, 9], [10, 30], [11, 16], [11, 17], [12, 17], [12, 24], [13, 24], [15, 0], [16, 22], [17, 30]]",0.2906748453776042,35,17,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
21,454,20,11716, tun, metal pins. They wore ⟦ tun⟧ ics and skirts that were,ics,1,"[[26, 3]]",0.3445841471354166,35,14,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
28,461,27,2539, full," and skirts that were usually ⟦ full⟧ -length, and added clo",-length,1,"[[6, 29]]",0.2022501627604166,35,7,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
30,463,29,11,","," that were usually full-length ⟦,⟧  and added cloaks and", and,4,"[[9, 9], [14, 10], [14, 11], [17, 30]]",0.2796223958333333,35,5,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
31,464,30,323, and," were usually full-length, ⟦ and⟧  added cloaks and", added,2,"[[12, 17], [23, 21]]",0.14544677734375,35,4,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
7,440,6,56874, woven,"ca clothes were made of ⟦ woven⟧  or knitted textiles,", or,1,"[[20, 3]]",0.14990234375,35,28,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
9,442,8,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",itted,6,"[[9, 9], [14, 11], [15, 5], [26, 3], [27, 28], [30, 26]]",0.5141855875651041,35,26,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
12,445,11,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and", often,1,"[[6, 25]]",0.11370849609375,35,23,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
19,452,18,85927, embroidery, with rich colors and delicate ⟦ embroidery⟧  with gold and silver thread, with,1,"[[20, 3]]",0.2115936279296875,35,16,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
20,453,19,449, with, rich colors and delicate embroidery ⟦ with⟧  gold and silver thread., gold,1,"[[19, 2]]",0.1674397786458333,35,15,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
