target,query,layer,head,source,attention_now,attention_before,source_gain,source_gain_low,source_token_id,source_text,source_context,region,source_is_prior_event,same_token_as_node,reviewed_roles
5,539,0,1,527,0.1767578125,0.0568440755208333,0.1199137369791666,-0.0177510579427083,10246,".""
"," answer based on given passages ⟦.""
⟧ output:<|eot_id|><|start_header_id|>assistant",prompt,False,False,outside_reviewed_claim_sources
5,539,0,1,534,0.150390625,0.0531819661458333,0.0972086588541666,-0.0404561360677083,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Based on the given passages",prompt,False,False,outside_reviewed_claim_sources
5,539,0,1,499,0.049072265625,0.0206502278645833,0.0284220377604166,-0.1092427571614583,382,".

","wurst and freeze it ⟦.

⟧ In case the passages do",prompt,False,False,outside_reviewed_claim_sources
16,550,0,1,534,0.271484375,0.099866231282552,0.1716181437174479,0.0577522913614909,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Based on the given passages",prompt,False,False,outside_reviewed_claim_sources
16,550,0,1,527,0.1806640625,0.053558349609375,0.127105712890625,0.0132398605346679,10246,".""
"," answer based on given passages ⟦.""
⟧ output:<|eot_id|><|start_header_id|>assistant",prompt,False,False,outside_reviewed_claim_sources
81,615,2,13,568,0.3046875,0.0,0.3046875,0.251922607421875,13,.," oil the grate.
2 ⟦.⟧  If you want to cook",history,False,False,outside_reviewed_claim_sources
81,615,2,13,550,0.1494140625,0.0,0.1494140625,0.096649169921875,13,.," cook brats:

1 ⟦.⟧  Preheat an outdoor grill",history,True,False,outside_reviewed_claim_sources
26,560,5,3,550,0.07763671875,0.0050455729166666,0.0725911458333333,0.0371907552083333,13,.," cook brats:

1 ⟦.⟧  Preheat an outdoor grill",history,True,True,outside_reviewed_claim_sources
26,560,5,3,548,0.041748046875,0.0048726399739583,0.0368754069010416,0.0014750162760416,1473,":

"," how to cook brats ⟦:

⟧ 1. Preheat an",history,False,False,outside_reviewed_claim_sources
26,560,5,3,549,0.0302734375,0.0,0.0302734375,-0.005126953125,16,1," to cook brats:

 ⟦1⟧ . Preheat an outdoor",history,False,False,outside_reviewed_claim_sources
103,637,5,3,617,0.09375,0.0,0.09375,0.0339864095052083,39578, Alternatively,"20 minutes.
3. ⟦ Alternatively⟧ , cook the brats",history,False,False,outside_reviewed_claim_sources
103,637,5,3,618,0.0830078125,0.0,0.0830078125,0.0232442220052083,11,","," minutes.
3. Alternatively ⟦,⟧  cook the brats directly",history,False,True,outside_reviewed_claim_sources
109,643,5,3,618,0.040771484375,0.0005645751953125,0.0402069091796875,0.0149459838867187,11,","," minutes.
3. Alternatively ⟦,⟧  cook the brats directly",history,False,False,outside_reviewed_claim_sources
109,643,5,3,617,0.039306640625,0.0005722045898437,0.0387344360351562,0.0134735107421875,39578, Alternatively,"20 minutes.
3. ⟦ Alternatively⟧ , cook the brats",history,False,False,outside_reviewed_claim_sources
109,643,5,3,615,0.032958984375,0.0,0.032958984375,0.0076980590820312,18,3," to 20 minutes.
 ⟦3⟧ . Alternatively, cook the",history,True,False,outside_reviewed_claim_sources
