task,model,split,responses,error_responses,raw_spans,sentences,error_sentences,fully_covered_sentences,lexical_words,error_words,later_span_words,span_text_mismatches,multisentence_spans,sources,partial_error_sentence_fraction,later_span_error_word_fraction
Data2txt,gpt-3.5-turbo-0613,test,150,37,42,1996,40,5,32439,392,32,0,0,150,0.875,0.08163265306122448
Data2txt,gpt-3.5-turbo-0613,train,883,235,342,11634,317,26,189755,2320,572,0,0,883,0.917981072555205,0.24655172413793103
Data2txt,gpt-4-0613,test,150,35,40,1220,38,1,19659,187,21,0,0,150,0.9736842105263158,0.11229946524064172
Data2txt,gpt-4-0613,train,883,255,314,7104,279,11,115062,1432,162,0,0,883,0.9605734767025089,0.11312849162011174
Data2txt,llama-2-13b-chat,test,150,138,318,1528,269,15,26839,1710,887,0,0,150,0.9442379182156134,0.5187134502923977
Data2txt,llama-2-13b-chat,train,883,845,2485,9041,2018,101,159837,12637,8222,0,5,883,0.9499504459861249,0.6506291050091002
Data2txt,llama-2-70b-chat,test,150,112,192,1174,178,9,23214,1108,476,0,0,150,0.949438202247191,0.4296028880866426
Data2txt,llama-2-70b-chat,train,883,751,1642,7100,1431,93,139273,8826,4822,0,14,883,0.9350104821802935,0.5463403580330841
Data2txt,llama-2-7b-chat,test,150,123,213,1021,184,10,20064,1238,503,0,0,150,0.9456521739130435,0.4063004846526656
Data2txt,llama-2-7b-chat,train,883,765,1562,6220,1297,62,120887,8575,4164,0,4,883,0.9521973785659213,0.48559766763848394
Data2txt,mistral-7B-instruct,test,150,134,249,1267,224,27,20822,1472,558,0,4,150,0.8794642857142857,0.37907608695652173
Data2txt,mistral-7B-instruct,train,883,824,1891,7660,1572,142,124781,10228,4999,0,7,883,0.9096692111959288,0.4887563551036371
QA,gpt-3.5-turbo-0613,test,150,5,8,615,15,14,10107,119,52,0,6,150,0.06666666666666665,0.4369747899159664
QA,gpt-3.5-turbo-0613,train,839,70,81,4012,110,60,61382,1205,301,0,17,839,0.4545454545454546,0.24979253112033195
QA,gpt-4-0613,test,150,1,1,801,1,1,14585,18,0,0,0,150,0.0,0.0
QA,gpt-4-0613,train,839,41,50,4474,51,12,81837,415,59,0,1,839,0.7647058823529411,0.14216867469879518
QA,llama-2-13b-chat,test,150,36,53,1442,91,68,19929,1228,317,0,18,150,0.25274725274725274,0.25814332247557004
QA,llama-2-13b-chat,train,839,363,601,9423,951,654,119430,11953,3878,0,162,839,0.3123028391167192,0.32443737973730447
QA,llama-2-70b-chat,test,150,35,48,1284,102,78,17977,1309,155,0,9,150,0.23529411764705888,0.11841100076394194
QA,llama-2-70b-chat,train,839,285,481,8741,861,635,110756,10215,3312,0,150,839,0.2624854819976771,0.32422907488986785
QA,llama-2-7b-chat,test,150,52,85,1711,163,115,24003,1735,575,0,28,150,0.29447852760736193,0.3314121037463977
QA,llama-2-7b-chat,train,839,458,925,11289,1559,1030,148919,17971,8305,0,334,839,0.33932007697241817,0.4621334372043848
QA,mistral-7B-instruct,test,150,31,40,907,83,66,13336,906,137,0,16,150,0.20481927710843373,0.15121412803532008
QA,mistral-7B-instruct,train,839,347,554,6298,844,597,82801,9510,3341,0,172,839,0.29265402843601895,0.3513144058885384
Summary,gpt-3.5-turbo-0613,test,150,4,4,1059,8,6,20764,145,0,0,1,150,0.25,0.0
Summary,gpt-3.5-turbo-0613,train,793,50,56,5774,55,10,112410,465,42,0,1,793,0.8181818181818181,0.09032258064516129
Summary,gpt-4-0613,test,150,6,6,748,8,4,16162,103,0,0,1,150,0.5,0.0
Summary,gpt-4-0613,train,793,68,74,4106,75,15,85842,627,93,0,1,793,0.8,0.14832535885167464
Summary,llama-2-13b-chat,test,150,33,36,852,35,8,14350,341,43,0,0,150,0.7714285714285715,0.12609970674486803
Summary,llama-2-13b-chat,train,793,262,306,4613,293,60,77892,2650,446,0,2,793,0.795221843003413,0.16830188679245284
Summary,llama-2-70b-chat,test,150,24,31,776,35,13,16198,435,78,0,1,150,0.6285714285714286,0.1793103448275862
Summary,llama-2-70b-chat,train,793,188,214,4059,209,43,86583,1925,205,0,2,793,0.7942583732057417,0.10649350649350649
Summary,llama-2-7b-chat,test,150,51,59,744,60,15,15090,689,146,0,1,150,0.75,0.21190130624092887
Summary,llama-2-7b-chat,train,793,383,458,4029,447,62,82829,4248,678,0,9,793,0.8612975391498882,0.1596045197740113
Summary,mistral-7B-instruct,test,150,86,108,824,112,45,16865,1247,209,0,4,150,0.5982142857142857,0.16760224538893345
Summary,mistral-7B-instruct,train,793,531,720,4430,700,173,89786,7055,1784,0,14,793,0.7528571428571429,0.2528703047484054
